"","species","interactions","outdegree","rep"
"851","Plant6",22,5,61
"852","Plant7",6,2,61
"853","Plant8",9,9,61
"854","Plant9",6,7,61
"855","Plant1",6,44,62
"856","Plant10",4,8,62
"857","Plant11",12,9,62
"858","Plant12",3,3,62
"859","Plant13",3,6,62
"860","Plant14",1,1,62
"861","Plant2",50,14,62
"862","Plant3",27,11,62
"863","Plant4",11,17,62
"864","Plant5",3,13,62
"865","Plant6",22,9,62
"866","Plant7",6,2,62
"867","Plant8",9,6,62
"868","Plant9",6,10,62
"869","Plant1",6,37,63
"870","Plant10",4,7,63
"871","Plant11",12,13,63
"872","Plant12",3,6,63
"873","Plant13",3,2,63
"874","Plant14",1,0,63
"875","Plant2",50,12,63
"876","Plant3",27,11,63
"877","Plant4",11,12,63
"878","Plant5",3,11,63
"879","Plant6",22,9,63
"880","Plant7",6,1,63
"881","Plant8",9,9,63
"882","Plant9",6,5,63
"883","Plant1",6,44,64
"884","Plant10",4,10,64
"885","Plant11",12,7,64
"886","Plant12",3,9,64
"887","Plant13",3,6,64
"888","Plant14",1,1,64
"889","Plant2",50,12,64
"890","Plant3",27,13,64
"891","Plant4",11,11,64
"892","Plant5",3,11,64
"893","Plant6",22,9,64
"894","Plant7",6,1,64
"895","Plant8",9,13,64
"896","Plant9",6,11,64
"897","Plant1",6,34,65
"898","Plant10",4,4,65
"899","Plant11",12,13,65
"900","Plant12",3,10,65
"901","Plant13",3,10,65
"902","Plant14",1,1,65
"903","Plant2",50,18,65
"904","Plant3",27,16,65
"905","Plant4",11,11,65
"906","Plant5",3,10,65
"907","Plant6",22,11,65
"908","Plant7",6,1,65
"909","Plant8",9,8,65
"910","Plant9",6,12,65
"911","Plant1",6,44,66
"912","Plant10",4,6,66
"913","Plant11",12,11,66
"914","Plant12",3,5,66
"915","Plant13",3,0,66
"916","Plant14",1,0,66
"917","Plant2",50,11,66
"918","Plant3",27,9,66
"919","Plant4",11,7,66
"920","Plant5",3,8,66
"921","Plant6",22,9,66
"922","Plant7",6,3,66
"923","Plant8",9,9,66
"924","Plant9",6,13,66
"925","Plant1",6,43,67
"926","Plant10",4,2,67
"927","Plant11",12,5,67
"928","Plant12",3,11,67
"929","Plant13",3,5,67
"930","Plant14",1,1,67
"931","Plant2",50,12,67
"932","Plant3",27,14,67
"933","Plant4",11,13,67
"934","Plant5",3,9,67
"935","Plant6",22,9,67
"936","Plant7",6,6,67
"937","Plant8",9,5,67
"938","Plant9",6,10,67
"939","Plant1",6,37,68
"940","Plant10",4,4,68
"941","Plant11",12,8,68
"942","Plant12",3,7,68
"943","Plant13",3,5,68
"944","Plant14",1,2,68
"945","Plant2",50,16,68
"946","Plant3",27,16,68
"947","Plant4",11,11,68
"948","Plant5",3,15,68
"949","Plant6",22,7,68
"950","Plant7",6,1,68
"951","Plant8",9,13,68
"952","Plant9",6,4,68
"953","Plant1",6,36,69
"954","Plant10",4,3,69
"955","Plant11",12,7,69
"956","Plant12",3,9,69
"957","Plant13",3,2,69
"958","Plant14",1,2,69
"959","Plant2",50,14,69
"960","Plant3",27,18,69
"961","Plant4",11,13,69
"962","Plant5",3,12,69
"963","Plant6",22,12,69
"964","Plant7",6,0,69
"965","Plant8",9,7,69
"966","Plant9",6,5,69
"967","Plant1",6,46,70
"968","Plant10",4,3,70
"969","Plant11",12,6,70
"970","Plant12",3,7,70
"971","Plant13",3,3,70
"972","Plant14",1,4,70
"973","Plant2",50,19,70
"974","Plant3",27,16,70
"975","Plant4",11,13,70
"976","Plant5",3,14,70
"977","Plant6",22,10,70
"978","Plant7",6,3,70
"979","Plant8",9,6,70
"980","Plant9",6,9,70
"981","Plant1",6,43,71
"982","Plant10",4,7,71
"983","Plant11",12,9,71
"984","Plant12",3,6,71
"985","Plant13",3,5,71
"986","Plant14",1,1,71
"987","Plant2",50,15,71
"988","Plant3",27,14,71
"989","Plant4",11,14,71
"990","Plant5",3,12,71
"991","Plant6",22,9,71
"992","Plant7",6,2,71
"993","Plant8",9,9,71
