"removal_fraction","rep","n_sites_kept","n_predators","n_resources","n_realised_links","n_cooc_links","n_expected_links_raw","n_expected_links_conditioned","divergence_raw","relative_divergence_raw","divergence_conditioned","relative_divergence_conditioned","mean_abs_species_error_raw","mean_abs_species_error_conditioned"
0.1,86,337,125,93,903,3056,833.038799348648,871.181734806362,69.9612006513516,0.0839831238425559,31.8182651936379,0.036523108695237,1.7686922447447,1.70638549059547
0.1,87,337,122,94,910,3114,867.938372375923,903.32007498762,42.061627624077,0.0484615370892476,6.67992501238029,0.00739485947156864,1.82218043791922,1.77535187715166
0.1,88,337,120,93,887,2972,825.963613712112,862.244045387672,61.0363862878885,0.0738971853900124,24.7559546123279,0.0287110763417303,1.82157617928817,1.76454776686709
0.1,89,337,120,94,888,2990,827.775961927228,864.357775253505,60.2240380727718,0.0727540310938218,23.6422247464949,0.0273523596632898,1.82355338658752,1.74606859973153
0.1,90,337,125,94,908,3107,857.697054155247,895.821396332386,50.302945844753,0.0586488499652092,12.1786036676135,0.0135949015255433,1.82680670014435,1.75971474218029
0.1,91,337,122,94,906,3052,848.083912902742,884.873070870199,57.9160870972578,0.068290514907927,21.1269291298007,0.0238756606176569,1.82482611356226,1.74234160794743
0.1,92,337,123,94,896,3026,844.571027882136,881.717923715783,51.428972117864,0.0608936021009723,14.2820762842166,0.016198010610954,1.83052044717169,1.75493913497904
0.1,93,337,119,94,904,3058,843.330894450105,877.011304656576,60.6691055498951,0.0719398588966132,26.9886953434243,0.0307734862710723,1.87446626714863,1.81647283101522
0.1,94,337,124,94,909,3082,853.222138257383,890.72848207847,55.7778617426173,0.0653732002975659,18.2715179215301,0.0205130051291213,1.79177829226525,1.73554014973792
0.1,95,337,121,94,876,2921,814.947078360447,851.901890046763,61.0529216395532,0.0749164249565539,24.0981099532369,0.0282874239801417,1.87722112472144,1.80414440982959
0.1,96,337,118,94,873,2929,806.801107611911,842.477023721354,66.198892388089,0.0820510678078198,30.5229762786455,0.0362300400120358,1.84621754128654,1.74566964378469
0.1,97,337,125,93,891,2995,821.191669071007,859.529604567501,69.8083309289932,0.0850085717600686,31.4703954324987,0.0366135096048657,1.83527838379868,1.77250442903881
0.1,98,337,117,93,886,2989,826.809008743001,861.150163739099,59.1909912569993,0.0715896786695484,24.8498362609009,0.028856565680721,1.76296076564052,1.69793457275101
0.1,99,337,122,93,907,3072,856.020264484877,891.822893341678,50.9797355151234,0.0595543559308157,15.1771066583221,0.0170180725025495,1.70419935738661,1.65073381562877
0.1,100,337,121,93,899,2979,812.535688484318,849.199027961585,86.4643115156816,0.106412940060479,49.8009720384147,0.0586446408893764,1.85878544770419,1.77931606223837
0.2,1,299,123,94,887,3008,802.035711337158,839.266513635041,84.9642886628416,0.105935792461396,47.7334863649593,0.0568752423568235,1.84943868385367,1.7907358283786
0.2,2,299,115,94,865,2918,790.525004751675,824.9811901493,74.4749952483254,0.0942095377131303,40.0188098507004,0.0485087542946987,1.76286153741193,1.69707345346572
0.2,3,299,111,91,809,2717,712.722888407247,746.171545322279,96.2771115927527,0.135083513043768,62.8284546777214,0.0842010862938833,1.93417361034603,1.83094807765725
0.2,4,299,120,93,840,2827,746.534547363453,785.326659310421,93.4654526365467,0.125199098911953,54.6733406895792,0.0696185976133635,1.76462437877309,1.6904100741135
0.2,5,299,120,94,871,2998,805.742754506779,841.77928669034,65.2572454932206,0.0809901735116025,29.2207133096597,0.0347130343686027,1.90349267976226,1.82503596882425
0.2,6,299,112,93,825,2613,717.482918430062,753.467391866737,107.517081569938,0.149853158602296,71.5326081332634,0.0949378949977375,1.93337798596667,1.81115547049026
0.2,7,299,119,93,870,2962,793.195899865566,828.377511608413,76.8041001344341,0.0968286650844402,41.6224883915867,0.0502457971254805,1.83865905788381,1.79458761559675
0.2,8,299,117,92,874,2998,814.229997945323,847.515996312579,59.7700020546772,0.073406779663614,26.4840036874206,0.0312489720579301,1.87385275694212,1.83053430289791
0.2,9,299,124,94,876,2987,803.886984125183,842.142657286708,72.1130158748167,0.0897054154363408,33.8573427132919,0.0402038092006604,1.71635982651797,1.66179919401929
0.2,10,299,111,94,832,2730,733.840063021285,767.967372541402,98.159936978715,0.1337620306182,64.0326274585984,0.0833793592645714,1.98340627063036,1.8777421531729
0.2,11,299,122,94,869,2933,777.454174456088,815.170650749434,91.5458255439117,0.11775076724999,53.8293492505655,0.0660344545048047,1.86811535262294,1.794709824073
0.2,12,299,118,93,875,2973,808.335117648449,844.205290107418,66.6648823515508,0.0824718373556347,30.7947098925819,0.0364777504399001,1.82611568142005,1.76141939707804
0.2,13,299,117,93,856,2880,775.021112935309,811.274871051163,80.9788870646912,0.104486040074434,44.725128948837,0.0551294395337143,1.835753311212,1.72903946360968
0.2,14,299,113,93,814,2704,700.109680261051,734.273514932698,113.890319738949,0.162674967865723,79.726485067302,0.108578729105611,1.9332887686258,1.83155378739308
0.2,15,299,114,93,838,2789,756.27175647928,791.295059899492,81.7282435207196,0.108067295678467,46.7049401005078,0.0590234192874148,1.89294671992434,1.77844917188628
0.2,16,299,116,92,833,2771,745.020745637724,780.75497020357,87.9792543622757,0.118089670492285,52.2450297964297,0.0669160386936859,1.81459742594011,1.70846240275546
0.2,17,299,110,94,839,2832,756.489904760414,786.83108709357,82.5100952395865,0.109069658062017,52.1689129064298,0.0663025568793088,1.89221829277604,1.81310011853407
