"model_rep","n_links","mean_interacting_sites","median_interacting_sites","q95_interacting_sites","max_interacting_sites","proportion_single_site_links","mean_repeatability","median_repeatability"
238,893,1.37513997760358,1,3,6,0.748040313549832,0.439472374916087,0.333333333333333
239,889,1.40719910011249,1,3,9,0.75140607424072,0.425902454133739,0.333333333333333
240,874,1.39130434782609,1,3,9,0.745995423340961,0.408484765814347,0.285714285714286
241,922,1.37093275488069,1,3,7,0.748373101952278,0.437133613959881,0.333333333333333
242,899,1.36373748609566,1,3,7,0.745272525027809,0.424389371918976,0.333333333333333
243,883,1.40317100792752,1,3,9,0.745186862967157,0.42192879872452,0.333333333333333
244,932,1.35622317596567,1,3,6,0.765021459227468,0.435531123813427,0.333333333333333
245,876,1.39269406392694,1,3,11,0.75,0.428251863012582,0.333333333333333
246,878,1.40318906605923,1,3,9,0.73120728929385,0.412281894329578,0.322916666666667
247,909,1.37733773377338,1,3,9,0.75027502750275,0.440380086274984,0.333333333333333
248,893,1.4053751399776,1,3,8,0.746920492721165,0.436445815653875,0.333333333333333
249,868,1.36290322580645,1,3,10,0.751152073732719,0.391096255627947,0.285714285714286
250,890,1.40898876404494,1,3,7,0.730337078651685,0.425418913762615,0.333333333333333
251,889,1.42294713160855,1,3,7,0.713160854893138,0.414549361440279,0.333333333333333
252,886,1.36907449209932,1,3,7,0.742663656884876,0.423949723997233,0.333333333333333
253,898,1.38975501113586,1,3,10,0.756124721603563,0.432659175971097,0.333333333333333
254,946,1.37949260042283,1,3,6,0.74630021141649,0.433749604659804,0.333333333333333
255,919,1.37105549510337,1,3,7,0.736670293797606,0.42858653501996,0.333333333333333
256,943,1.39978791092259,1,3,9,0.739130434782609,0.434325215573579,0.333333333333333
257,885,1.39209039548023,1,3,7,0.743502824858757,0.417934648166623,0.333333333333333
258,898,1.4075723830735,1,3,7,0.734966592427617,0.434550940087128,0.333333333333333
259,882,1.40929705215419,1,3,8,0.739229024943311,0.429015766809565,0.333333333333333
260,892,1.35986547085202,1,3,10,0.770179372197309,0.404903657285563,0.285714285714286
261,907,1.41124586549063,1,3,6,0.719955898566703,0.430530538442133,0.333333333333333
262,865,1.45202312138728,1,3,8,0.709826589595376,0.417948189255731,0.333333333333333
263,876,1.39497716894977,1,3,8,0.736301369863014,0.431514200075971,0.333333333333333
264,900,1.37777777777778,1,3,8,0.751111111111111,0.435724844109325,0.333333333333333
265,890,1.31797752808989,1,3,7,0.780898876404494,0.406611102438069,0.285714285714286
266,924,1.37012987012987,1,3,8,0.735930735930736,0.428279325482615,0.333333333333333
267,930,1.33978494623656,1,3,8,0.767741935483871,0.426702479341584,0.333333333333333
268,909,1.37073707370737,1,3,11,0.743674367436744,0.415004527049108,0.307692307692308
269,892,1.40582959641256,1,3,6,0.725336322869955,0.412405084418566,0.285714285714286
270,909,1.38943894389439,1,3,8,0.755775577557756,0.440258122057818,0.333333333333333
271,899,1.39265850945495,1,3,9,0.746384872080089,0.416014988952216,0.285714285714286
272,904,1.36946902654867,1,3,6,0.756637168141593,0.42787069681353,0.333333333333333
273,845,1.37159763313609,1,3,9,0.750295857988166,0.429305085468075,0.333333333333333
274,885,1.3819209039548,1,3,9,0.751412429378531,0.409604889617879,0.3
275,893,1.3538633818589,1,3,6,0.760358342665174,0.422223457313697,0.333333333333333
276,899,1.38153503893215,1,3,6,0.747497219132369,0.441216894614782,0.333333333333333
277,890,1.36292134831461,1,3,6,0.755056179775281,0.443879341388355,0.333333333333333
278,919,1.3373231773667,1,3,8,0.766050054406964,0.435896032754523,0.333333333333333
279,926,1.38444924406048,1,3,9,0.74622030237581,0.437712329470626,0.333333333333333
