"consumer","resource","n_interacting_sites","n_cooccurring_sites","repeatability","source","model_rep"
"Ccruxx","Ovimin",18,22,0.818181818181818,"empirical",NA
"Ccruxx","Oviril",7,8,0.875,"empirical",NA
"Cdorsa","Halien",2,2,1,"empirical",NA
"Cdorsa","Heryth",1,2,0.5,"empirical",NA
"Celong","Hacuti",6,8,0.75,"empirical",NA
"Celong","Halien",9,14,0.642857142857143,"empirical",NA
"Celong","Hangli",9,19,0.473684210526316,"empirical",NA
"Celong","Hanoma",8,16,0.5,"empirical",NA
"Celong","Hcarin",2,2,1,"empirical",NA
"Celong","Heryth",7,12,0.583333333333333,"empirical",NA
"Celong","Hischn",4,16,0.25,"empirical",NA
"Celong","Hleuca",30,41,0.731707317073171,"empirical",NA
"Celong","Hleuco",7,18,0.388888888888889,"empirical",NA
"Celong","Hnudip",9,16,0.5625,"empirical",NA
"Celong","Hoblit",6,11,0.545454545454545,"empirical",NA
"Celong","Hplicd",6,7,0.857142857142857,"empirical",NA
"Celong","Hplicg",18,22,0.818181818181818,"empirical",NA
"Celong","Hplicl",5,7,0.714285714285714,"empirical",NA
"Celong","Hplicp",2,4,0.5,"empirical",NA
"Celong","Hpolit",13,22,0.590909090909091,"empirical",NA
"Celong","Hpruss",21,38,0.552631578947368,"empirical",NA
"Celong","Hpscho",1,5,0.2,"empirical",NA
"Celong","Hpurpu",9,13,0.692307692307692,"empirical",NA
"Celong","Hscapr",1,2,0.5,"empirical",NA
"Celong","Hsglau",2,4,0.5,"empirical",NA
"Celong","Hspecc",1,3,0.333333333333333,"empirical",NA
"Celong","Hspira",10,10,1,"empirical",NA
"Celong","Hspirh",2,3,0.666666666666667,"empirical",NA
"Celong","Htuber",3,6,0.5,"empirical",NA
"Celong","Odolic",6,11,0.545454545454545,"empirical",NA
"Celong","Oglauc",2,4,0.5,"empirical",NA
"Celong","Ohasta",2,13,0.153846153846154,"empirical",NA
"Celong","Olappl",6,11,0.545454545454545,"empirical",NA
"Celong","Olappo",2,11,0.181818181818182,"empirical",NA
"Celong","Omyrsi",1,4,0.25,"empirical",NA
"Celong","Onigri",3,6,0.5,"empirical",NA
"Celong","Ospset",2,2,1,"empirical",NA
"Cflavi","Hleuco",1,1,1,"empirical",NA
"Cflavi","Hplicp",1,1,1,"empirical",NA
"Cflavi","Oobscu",2,2,1,"empirical",NA
"Cgraci","Obridg",1,1,1,"empirical",NA
"Chalci","Eappen",2,2,1,"empirical",NA
"Chalci","Eatraa",6,7,0.857142857142857,"empirical",NA
"Chalci","Eaurit",10,11,0.909090909090909,"empirical",NA
"Chalci","Eboreo",20,21,0.952380952380952,"empirical",NA
"Chalci","Eciner",4,4,1,"empirical",NA
"Chalci","Edaphn",5,6,0.833333333333333,"empirical",NA
"Chalci","Eelaea",8,12,0.666666666666667,"empirical",NA
"Chalci","Egemmc",2,4,0.5,"empirical",NA
"Chalci","Egemmf",7,11,0.636363636363636,"empirical",NA
"Chalci","Egemmh",8,11,0.727272727272727,"empirical",NA
"Chalci","Ehasta",15,17,0.882352941176471,"empirical",NA
"Chalci","Elanat",9,10,0.9,"empirical",NA
"Chalci","Elappc",11,13,0.846153846153846,"empirical",NA
