"","species","interactions","potential_prey","prob_expected","prob_int","expected_indegree","relative_N_alpha"
"156","Cacoxenus.indagator",1,"Megachile.versicolor",0.319145198880256,0.319144526126624,9.38174962586005,4.59459459459459
"157","Cacoxenus.indagator",1,"Megachile.versicolor",0.319145198880256,0.319144526126624,9.38174962586005,4.59459459459459
"158","Cacoxenus.indagator",1,"Megachile.versicolor",0.319145198880256,0.319144526126624,9.38174962586005,4.59459459459459
"159","Cacoxenus.indagator",1,"Megachile.versicolor",0.319145198880256,0.319144526126624,9.38174962586005,4.59459459459459
"160","Cacoxenus.indagator",1,"Megachile.versicolor",0.319145198880256,0.319144526126624,9.38174962586005,4.59459459459459
"161","Cacoxenus.indagator",1,"Megachile.versicolor",0.319145198880256,0.319144526126624,9.38174962586005,4.59459459459459
"162","Cacoxenus.indagator",1,"Megachile.versicolor",0.319145198880256,0.319144526126624,9.38174962586005,4.59459459459459
"163","Cacoxenus.indagator",1,"Megachile.versicolor",0.319145198880256,0.319144526126624,9.38174962586005,4.59459459459459
"164","Cacoxenus.indagator",1,"Megachile.versicolor",0.319145198880256,0.319144526126624,9.38174962586005,4.59459459459459
"165","Cacoxenus.indagator",1,"Megachile.versicolor",0.319145198880256,0.319144526126624,9.38174962586005,4.59459459459459
"166","Cacoxenus.indagator",1,"Megachile.versicolor",0.319145198880256,0.319144526126624,9.38174962586005,4.59459459459459
"167","Cacoxenus.indagator",1,"Megachile.versicolor",0.319145198880256,0.319144526126624,9.38174962586005,4.59459459459459
"168","Cacoxenus.indagator",1,"Megachile.versicolor",0.319145198880256,0.319144526126624,9.38174962586005,4.59459459459459
"169","Cacoxenus.indagator",1,"Megachile.versicolor",0.319145198880256,0.319144526126624,9.38174962586005,4.59459459459459
"170","Cacoxenus.indagator",1,"Megachile.versicolor",0.319145198880256,0.319144526126624,9.38174962586005,4.59459459459459
"171","Cacoxenus.indagator",1,"Megachile.versicolor",0.319145198880256,0.319144526126624,9.38174962586005,4.59459459459459
"172","Cacoxenus.indagator",1,"Megachile.versicolor",0.319145198880256,0.319144526126624,9.38174962586005,4.59459459459459
"173","Cacoxenus.indagator",1,"Megachile.versicolor",0.319145198880256,0.319144526126624,9.38174962586005,4.59459459459459
"174","Cacoxenus.indagator",1,"Megachile.versicolor",0.319145198880256,0.319144526126624,9.38174962586005,4.59459459459459
"175","Cacoxenus.indagator",1,"Megachile.versicolor",0.319145198880256,0.319144526126624,9.38174962586005,4.59459459459459
"176","Cacoxenus.indagator",1,"Eumenidae.spec",0.74939194684133,0.749390367133548,9.38174962586005,4.59459459459459
"177","Cacoxenus.indagator",1,"Eumenidae.spec",0.74939194684133,0.749390367133548,9.38174962586005,4.59459459459459
"178","Cacoxenus.indagator",1,"Eumenidae.spec",0.74939194684133,0.749390367133548,9.38174962586005,4.59459459459459
"179","Cacoxenus.indagator",1,"Eumenidae.spec",0.74939194684133,0.749390367133548,9.38174962586005,4.59459459459459
"180","Cacoxenus.indagator",1,"Eumenidae.spec",0.74939194684133,0.749390367133548,9.38174962586005,4.59459459459459
"181","Cacoxenus.indagator",1,"Eumenidae.spec",0.74939194684133,0.749390367133548,9.38174962586005,4.59459459459459
"182","Cacoxenus.indagator",1,"Eumenidae.spec",0.74939194684133,0.749390367133548,9.38174962586005,4.59459459459459
"183","Cacoxenus.indagator",1,"Eumenidae.spec",0.74939194684133,0.749390367133548,9.38174962586005,4.59459459459459
"184","Cacoxenus.indagator",1,"Eumenidae.spec",0.74939194684133,0.749390367133548,9.38174962586005,4.59459459459459
"185","Cacoxenus.indagator",1,"Eumenidae.spec",0.74939194684133,0.749390367133548,9.38174962586005,4.59459459459459
"186","Cacoxenus.indagator",1,"Eumenidae.spec",0.74939194684133,0.749390367133548,9.38174962586005,4.59459459459459
