"model_rep","n_links","mean_interacting_sites","median_interacting_sites","q95_interacting_sites","max_interacting_sites","proportion_single_site_links","mean_repeatability","median_repeatability"
370,99,1.28282828282828,1,2.09999999999999,5,0.787878787878788,0.351735766882591,0.25
371,109,1.3302752293578,1,3,4,0.761467889908257,0.347996734198413,0.25
372,105,1.21904761904762,1,2,3,0.80952380952381,0.367436979044675,0.285714285714286
373,122,1.14754098360656,1,2,4,0.901639344262295,0.370064158105002,0.25
374,98,1.24489795918367,1,2,6,0.816326530612245,0.345394903005632,0.25
375,106,1.31132075471698,1,3,7,0.839622641509434,0.382858787190962,0.333333333333333
376,109,1.18348623853211,1,2,4,0.844036697247706,0.344855662865647,0.25
377,106,1.23584905660377,1,2.75,3,0.820754716981132,0.390605646414324,0.285714285714286
378,111,1.20720720720721,1,2,4,0.846846846846847,0.344797568868776,0.25
379,115,1.2695652173913,1,3,5,0.834782608695652,0.363835957696302,0.25
380,117,1.15384615384615,1,2,4,0.888888888888889,0.378789859855391,0.25
381,107,1.36448598130841,1,2.69999999999999,4,0.719626168224299,0.347154199574268,0.25
382,105,1.22857142857143,1,2,4,0.80952380952381,0.373440885764194,0.25
383,101,1.36633663366337,1,3,7,0.772277227722772,0.413258002491979,0.285714285714286
384,115,1.15652173913043,1,2,3,0.860869565217391,0.365096033503895,0.25
385,126,1.23809523809524,1,2.75,4,0.825396825396825,0.390560948728242,0.25
386,113,1.33628318584071,1,3,4,0.769911504424779,0.424421532116537,0.25
387,108,1.2037037037037,1,2,3,0.824074074074074,0.355360626884105,0.25
388,96,1.28125,1,2,4,0.78125,0.368012650252153,0.25
389,114,1.1140350877193,1,2,3,0.894736842105263,0.389000811046599,0.25
390,102,1.2156862745098,1,2,4,0.833333333333333,0.411176287727462,0.25
391,120,1.24166666666667,1,2.05,3,0.808333333333333,0.348591206179441,0.25
392,107,1.32710280373832,1,3,4,0.775700934579439,0.367720500503261,0.25
393,112,1.16071428571429,1,2,4,0.883928571428571,0.361452901335973,0.25
394,100,1.24,1,2,3,0.8,0.410821758049312,0.25
395,103,1.33980582524272,1,3,5,0.825242718446602,0.380130515422905,0.25
396,99,1.26262626262626,1,3,3,0.808080808080808,0.328514617581603,0.25
397,113,1.26548672566372,1,2,4,0.787610619469027,0.362194699279551,0.25
398,101,1.30693069306931,1,3,5,0.801980198019802,0.32072124461451,0.25
399,122,1.24590163934426,1,2,5,0.811475409836066,0.394631881748438,0.333333333333333
400,112,1.25,1,2,5,0.8125,0.399530602013533,0.25
401,99,1.23232323232323,1,2.09999999999999,5,0.838383838383838,0.327109088846822,0.2
402,102,1.24509803921569,1,2,3,0.794117647058823,0.333782499177236,0.25
403,101,1.26732673267327,1,2,5,0.811881188118812,0.382061200038624,0.25
404,99,1.33333333333333,1,2.09999999999999,5,0.777777777777778,0.314478457775906,0.222222222222222
405,99,1.3030303030303,1,3,4,0.777777777777778,0.37775848214046,0.333333333333333
406,100,1.26,1,2.05,4,0.8,0.364709250398724,0.25
407,100,1.29,1,2,3,0.75,0.368078304272267,0.30952380952381
408,108,1.23148148148148,1,2,5,0.833333333333333,0.357120921630511,0.25
409,95,1.30526315789474,1,3,4,0.778947368421053,0.318854098493254,0.25
410,99,1.39393939393939,1,3,6,0.747474747474748,0.333868194225639,0.2
411,109,1.21100917431193,1,2,3,0.798165137614679,0.404577721757828,0.25
412,115,1.2695652173913,1,2.3,5,0.808695652173913,0.360815075062686,0.25
413,104,1.30769230769231,1,3,4,0.807692307692308,0.341295865619589,0.236111111111111
414,92,1.34782608695652,1,3,4,0.739130434782609,0.315291447346569,0.2
415,108,1.30555555555556,1,2,5,0.759259259259259,0.351988581450656,0.25
416,109,1.21100917431193,1,2,3,0.825688073394495,0.364647882564348,0.25
417,109,1.20183486238532,1,2,4,0.844036697247706,0.374005220864226,0.25
418,99,1.26262626262626,1,2,4,0.787878787878788,0.342475866605241,0.25
419,113,1.23893805309735,1,2,4,0.823008849557522,0.354573460610338,0.25
420,99,1.23232323232323,1,2,3,0.808080808080808,0.366859026132645,0.25
421,94,1.26595744680851,1,2,3,0.765957446808511,0.342059027180725,0.25
422,109,1.1651376146789,1,2,5,0.880733944954128,0.360055164260223,0.25
423,122,1.22131147540984,1,2,3,0.80327868852459,0.417562858594427,0.30952380952381
424,115,1.30434782608696,1,2.3,4,0.756521739130435,0.393102709886395,0.25
425,112,1.24107142857143,1,3,4,0.866071428571429,0.364438303830304,0.25
426,96,1.29166666666667,1,2,5,0.802083333333333,0.354698547979798,0.25
427,88,1.23863636363636,1,2,4,0.818181818181818,0.387307563339966,0.25
428,101,1.23762376237624,1,2,4,0.821782178217822,0.368193292128859,0.25
429,105,1.28571428571429,1,3,6,0.819047619047619,0.34651316113899,0.25
430,113,1.21238938053097,1,2,3,0.814159292035398,0.404495853075814,0.25
431,104,1.31730769230769,1,2.84999999999999,4,0.759615384615385,0.367000165404771,0.25
432,115,1.25217391304348,1,2.3,4,0.826086956521739,0.434553303160249,0.333333333333333
433,108,1.31481481481481,1,2.64999999999999,5,0.777777777777778,0.38213845810638,0.25
434,103,1.22330097087379,1,2,6,0.844660194174757,0.331270745937929,0.2
435,96,1.21875,1,2,3,0.822916666666667,0.34825276179717,0.25
436,94,1.35106382978723,1,3,3,0.723404255319149,0.393852364964446,0.25
